643,CMEC0133.01,Mantenimiento de sistemas de aire acondicionado y refrigeración
644,CMEC0149.01,Mantenimiento a sistemas generadores de vapor
645,CMEC0168.01,Mantenimiento a ventiladores y sopladores
646,CMEC0169.01,Mantenimiento a subestaciones
647,CMEC0170.01,Mantenimiento a plantas eléctricas de emergencia
648,CMEC0171.01,Mantenimiento a circuitos de control
649,CMEC0172.01,Mantenimiento a sistemas ininterrumpibles de energía
650,CMEC0173.01,Mantenimiento a bombas
651,CMEC0204.01,Mantenimiento a generadores de energia eléctrica
652,CMEC0205.01,Mantenimiento a motores eléctricos
653,CMEC0206.01,Mantenimiento a compresores
654,CMEC0207.01,Mantenimiento a reductores de velocidad
655,CMEC0208.01,Mantenimiento a medidores mecánicos
656,CMEC0209.01,Mantenimiento a grúas y polipastos
657,CMEC0210.01,Mantenimiento a sistemas hidráulicos
658,CMEC0211.01,Mantenimiento a elementos mecánicos, mediante proceso de soldadura
659,CMEC0212.01,Mantenimiento a sistemas neumáticos
660,CMEC0213.01,Mantenimiento a válvulas
661,CMEC0214.01,Mantenimiento a instalaciones eléctricas
662,CMEC0215.01,Mantenimiento a elementos mecánicos mediante aplicación de maquinados
663,CMEC0216.01,Administración del servicio de mantenimiento a los sistemas electromecánicos
664,CMEC0411.01,Mantenimiento de sistemas electrónicos y microprocesados
665,CMEC0414.01,Mantenimiento de sistemas mecánicos y electromecánicos
666,CMEC0424.01,Mantenimiento de sistemas eléctricos
667,CMEN0647.01,Traslado de envíos de mensajería y paquetería
668,CMIN0044.03,Fragmentación de roca
669,CMIN0478.02,Operación de la planta de beneficio
670,CMIN0479.02,Carga y acarreo de mineral y tepetate
671,CMIN0570.01,Supervisión de mina y planta
672,CMIN0576.01,Muestreo de minerales en planta de beneficio
673,CMIN0578.01,Extracción de carbón en mina subterránea
674,CMIN0579.01,Extracción de carbón en tajo
675,CMIN0589.01,Beneficio de carbón
676,CMIN0630.01,Control de emergencias en mina y planta de beneficio
677,CMIN0649.01,Separación de metales por electrólisis
678,CMME0357.01,Maquinado de piezas por desprendimiento de viruta
679,CMME0469.01,Preparación de superficies metálicas para la aplicación de recubrimiento anticorrosivo
680,CMME0591.01,Inspección a la superficie del elemento por ensayos no destructivos
681,CMME0599.01,Inspección volumétrica al elemento por ensayos no destructivos
682,CMTO0320.02,Producción de nixtamal y masa
683,CMTO0321.02,Producción de tortilla de maíz
684,CMUE0035.01,Preparación de materia prima en la fabricación y/o ensamble de muebles de madera
685,CMUE0065.01,Control de la calidad de los muebles de madera durante el proceso de producción y embarque
686,CMUE0066.01,Fabricación de piezas de hierro forjado
687,CMUE0067.01,Fabricación de piezas torneadas
688,CMUE0102.01,Almacenaje y embarque de los productos terminados
689,CMUE0103.01,Pintado de piezas, componentes y muebles
690,CMUE0104.01,Montaje final y decorado del mueble
691,CMUE0105.01,Fabricación de piezas rauteadas del mueble
692,CMUE0135.01,Armado de muebles de tablero
693,CMUE0154.01,Corrección de desperfectos de los muebles
694,CMUE0184.01,Aplicación de pintura electrostática en muebles metálicos
695,CMUE0237.01,Acabado de los muebles de madera
696,CMUE0238.01,Tapizado de muebles
697,COAS0164.01,Operación del proceso manual y semiautomático de potabilización y tratamiento de aguas residuales
698,COAS0165.01,Control de los procedimientos operativos manual y semiautomático de potabilización y tratamiento de aguas residuales
699,COAS0227.01,Dirección de empresas de agua y saneamiento
700,COAS0228.01,Difusión de la empresa de agua y saneamiento y promoción de la cultura del agua
701,COAS0307.01,Conservación y operación de la red de agua potable
702,COAS0319.01,Conservación del funcionamiento operativo de la red de alcantarillado
703,COAS0391.01,Conservación de la red de alcantarillado con el vehículo de desazolve
704,COAS0453.01,Atención al suministro de agua potable con micromedición
705,COPH0474.01,Bombeo de aguas
706,COPT0139.02,Venta de productos y servicios ópticos
707,COPT0656.01,Examen de refracción y adaptación de lentes de contacto
708,COPT0658.01,Procesamiento de lentes ópticas
709,CPAN0651.01,Elaboración de productos de panificación
710,CPES0055.02,Preparación de estanquería, siembra y control de cultivo de camarón por el sistema semi intensivo
711,CPES0056.02,Engorda y cosecha de camarón por el sistema semi intensivo
712,CPES0081.01,Operación de equipos de navegación para captura de camarón
713,CPES0082.01,Operación de equipos de propulsión para captura de camarón
714,CPES0111.01,Operación de equipo de cubierta y artes de pesca para captura de camarón
715,CPES0182.01,Obtención de producto envasado de origen pesquero
716,CPES0183.01,Obtención de producto congelado de origen pesquero
717,CPES0222.01,Operación de artes de pesca ribereña y aguas interiores
718,CPES0223.01,Obtención de productos ahumados de origen pesquero
